var_orig,label_orig,type_orig,type_suggested,var_new,type_new,keep
E07_6,ciment avec moquette,double,factor,E07_6,factor,no
E07_7,argile/banco,double,factor,E07_7,factor,no
E07_8,argile/banc avec tapis,double,factor,E07_8,factor,no
E07_9,sable,double,factor,E07_9,factor,no
E07_10,Bois avec tapis,double,factor,E07_10,factor,no
E07_11,Bois avec moquette,double,factor,E07_11,factor,no
E07_99,Autre,double,factor,E07_99,factor,no
E08A_11,Chasse raccordée à l’égout,double,factor,E08A_11,factor,no
E08A_12,Chasse avec fosse,double,factor,E08A_12,factor,no
E08A_21,Couverte,double,factor,E08A_21,factor,no
E08A_22,non couverte,double,factor,E08A_22,factor,no
E08A_23,Ventilée améliorée,double,factor,E08A_23,factor,no
E08A_31,Edicule public,double,factor,E08A_31,factor,no
E08A_41,Dans la nature,double,factor,E08A_41,factor,no
E08A_51,Dans la nature,double,factor,E08A_51,factor,no
E08A_99,Autre,double,factor,E08A_99,factor,no
E10_11,Robinet dans logement,double,factor,E10_11,factor,no
E10_12,Robinet dans cour/parcelle,double,factor,E10_12,factor,no
E10_13,Robinet du voisin,double,factor,E10_13,factor,no
E10_14,Robinet public/borne fontaine,double,factor,E10_14,factor,no
E10_21,Puits à pompe ou forage,double,factor,E10_21,factor,no
E10_31,Puits protégé,double,factor,E10_31,factor,no
E10_32,Puits non protégé,double,factor,E10_32,factor,no
E10_41,Source protégée,double,factor,E10_41,factor,no
E10_42,Source non protégée,double,factor,E10_42,factor,no
E10_51,Camion citerne,double,factor,E10_51,factor,no
E10_61,Charrette avec petite citerne/tonneau,double,factor,E10_61,factor,no
E10_71,Eau de surface,double,factor,E10_71,factor,no
E10_81,Eau minérale,double,factor,E10_81,factor,no
E10_91,Eau améliorée/purifiée,double,factor,E10_91,factor,no
E11_1,Eléctricité SENELEC,double,factor,E11_1,factor,no
E11_2,Woyofal SENELEC,double,factor,E11_2,factor,no
E11_3,"Concession d""électrification rurale",double,factor,E11_3,factor,no
E11_4,Solaire,double,factor,E11_4,factor,no
E11_5,Groupe éléctrogène,double,factor,E11_5,factor,no
E11_6,Gaz,double,factor,E11_6,factor,no
E11_7,Lampe à pétrole artisanale,double,factor,E11_7,factor,no
E11_8,Lampe tempête,double,factor,E11_8,factor,no
E11_9,Lampe torche,double,factor,E11_9,factor,no
E11_10,Bougie,double,factor,E11_10,factor,no
E11_11,Bois,double,factor,E11_11,factor,no
E11_12,Lampe rechargeable,double,factor,E11_12,factor,no
E11_99,Autre,double,factor,E11_99,factor,no
FAC1_1,REGR factor score   1 for analysis 1,double,numeric,FAC1_1,numeric,no
FAC2_1,REGR factor score   2 for analysis 1,double,numeric,FAC2_1,numeric,no
FAC3_1,REGR factor score   3 for analysis 1,double,numeric,FAC3_1,numeric,no
FAC4_1,REGR factor score   4 for analysis 1,double,numeric,FAC4_1,numeric,no
FAC5_1,REGR factor score   5 for analysis 1,double,numeric,FAC5_1,numeric,no
FAC6_1,REGR factor score   6 for analysis 1,double,numeric,FAC6_1,numeric,no
FAC7_1,REGR factor score   7 for analysis 1,double,numeric,FAC7_1,numeric,no
FAC8_1,REGR factor score   8 for analysis 1,double,numeric,FAC8_1,numeric,no
FAC9_1,REGR factor score   9 for analysis 1,double,numeric,FAC9_1,numeric,no
FAC10_1,REGR factor score  10 for analysis 1,double,numeric,FAC10_1,numeric,no
FAC11_1,REGR factor score  11 for analysis 1,double,numeric,FAC11_1,numeric,no
FAC12_1,REGR factor score  12 for analysis 1,double,numeric,FAC12_1,numeric,no
FAC13_1,REGR factor score  13 for analysis 1,double,numeric,FAC13_1,numeric,no
FAC14_1,REGR factor score  14 for analysis 1,double,numeric,FAC14_1,numeric,no
FAC15_1,REGR factor score  15 for analysis 1,double,numeric,FAC15_1,numeric,no
FAC16_1,REGR factor score  16 for analysis 1,double,numeric,FAC16_1,numeric,no
FAC17_1,REGR factor score  17 for analysis 1,double,numeric,FAC17_1,numeric,no
FAC18_1,REGR factor score  18 for analysis 1,double,numeric,FAC18_1,numeric,no
FAC19_1,REGR factor score  19 for analysis 1,double,numeric,FAC19_1,numeric,no
FAC20_1,REGR factor score  20 for analysis 1,double,numeric,FAC20_1,numeric,no
FAC21_1,REGR factor score  21 for analysis 1,double,numeric,FAC21_1,numeric,no
FAC22_1,REGR factor score  22 for analysis 1,double,numeric,FAC22_1,numeric,no
FAC23_1,REGR factor score  23 for analysis 1,double,numeric,FAC23_1,numeric,no
FAC24_1,REGR factor score  24 for analysis 1,double,numeric,FAC24_1,numeric,no
FAC25_1,REGR factor score  25 for analysis 1,double,numeric,FAC25_1,numeric,no
FAC26_1,REGR factor score  26 for analysis 1,double,numeric,FAC26_1,numeric,no
FAC27_1,REGR factor score  27 for analysis 1,double,numeric,FAC27_1,numeric,no
FAC28_1,REGR factor score  28 for analysis 1,double,numeric,FAC28_1,numeric,no
FAC29_1,REGR factor score  29 for analysis 1,double,numeric,FAC29_1,numeric,no
FAC30_1,REGR factor score  30 for analysis 1,double,numeric,FAC30_1,numeric,no
FAC31_1,REGR factor score  31 for analysis 1,double,numeric,FAC31_1,numeric,no
FAC32_1,REGR factor score  32 for analysis 1,double,numeric,FAC32_1,numeric,no
FAC33_1,REGR factor score  33 for analysis 1,double,numeric,FAC33_1,numeric,no
FAC34_1,REGR factor score  34 for analysis 1,double,numeric,FAC34_1,numeric,no
FAC35_1,REGR factor score  35 for analysis 1,double,numeric,FAC35_1,numeric,no
FAC36_1,REGR factor score  36 for analysis 1,double,numeric,FAC36_1,numeric,no
FAC37_1,REGR factor score  37 for analysis 1,double,numeric,FAC37_1,numeric,no
FAC38_1,REGR factor score  38 for analysis 1,double,numeric,FAC38_1,numeric,no
PROXY,NIVEAU DE VIE,double,numeric,PROXY,numeric,no
RPROXY,Rank of PROXY,double,numeric,RPROXY,numeric,no
NPROXY,NIVEAU DE VIE,double,factor,NPROXY,factor,no
